,,0,1,2,3,4,5,6,7,8,9,Global
seller_is_top,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
publication_day,mean,6.0,6.304347826086956,15.746666666666666,9.77,14.695187165775401,7.369230769230769,10.777777777777779,6.0,8.224,6.0,10.263651877133105
publication_day,std,0.0,3.3391254025726975,9.273753285482638,8.680660651513435,10.883949331753547,8.969687199760003,7.917982346813135,0.0,6.943160942320707,0.0,8.59087810717882
publication_day,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
publication_month,mean,12.0,11.978260869565217,9.848888888888888,10.62,11.272727272727273,11.307692307692308,10.88888888888889,12.0,11.624,12.0,11.147610921501707
publication_month,std,0.0,0.14744195615489694,2.2289313404936735,2.254108476787581,0.9421175790456426,1.4782070740752642,1.2692955176439846,0.0,0.9559997300579992,0.0,1.6750194845930064
publication_month,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
publication_year,mean,2025.0,2025.0,2024.7466666666667,2024.99,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2024.9496587030717
publication_year,std,0.0,0.0,0.5451081150953899,0.0997484272744322,0.0,0.0,0.0,0.0,0.0,0.0,0.2614252852056544
publication_year,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
source_category_auto,mean,0.0,0.0,0.1511111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.042662116040955635
source_category_auto,std,0.0,0.0,0.35895571641806506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021804585739319
source_category_auto,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
source_category_clothes,mean,0.0,0.0,0.0,0.95,0.0,0.9230769230769231,1.0,0.0,1.0,0.0,0.32764505119453924
source_category_clothes,std,0.0,0.0,0.0,0.21849186132974546,0.0,0.2685430777647873,0.0,0.0,0.0,0.0,0.46955499795764055
